83|20061121|weekday|PM2|3|11|14|499|431|343|1|50|0.09
21|20061106|weekday|AM|2|8|10|333|270|247|1|93|0.08
44|20061111|holiday|midnight|2|6|8|352|235|250|2|70|0.06
24|20061106|weekday|midnight|1|3|4|105|85|75|2|82|0.08
13|20061104|holiday|AM|2|8|10|376|262|265|2|64|0.1
23|20061106|weekday|PM2|4|11|15|416|310|314|1|77|0.11
81|20061121|weekday|AM|2|7|9|297|178|193|1|44|0.05
55|20061114|weekday|PM2|3|10|13|352|291|242|0|78|0.06
7|20061102|weekday|PM2|3|12|15|469|308|307|2|85|0.16
9|20061103|holiday|AM|2|8|10|416|279|274|1|84|0.12
8|20061102|weekday|midnight|1|3|4|178|116|136|2|68|0.04
37|20061110|weekday|AM|2|7|9|234|172|156|2|66|0.13
40|20061110|weekday|midnight|1|4|5|170|140|114|1|113|0.15
3|20061101|weekday|PM2|3|11|14|358|268|255|1|92|0.14
51|20061113|weekday|PM2|3|14|17|648|513|487|1|78|0.05
12|20061103|holiday|midnight|1|4|5|223|96|130|2|76|0.13
113|20061129|weekday|AM|2|7|9|232|122|149|2|93|0.16
87|20061122|weekday|PM2|3|11|14|497|332|312|0|92|0.2
71|20061118|holiday|PM2|4|11|15|578|375|373|1|56|0.08
48|20061112|holiday|midnight|0|3|3|137|109|84|3|120|0.1
66|20061117|weekday|PM1|2|10|12|451|215|321|1|77|0.06
6|20061102|weekday|PM1|3|10|13|539|338|381|1|83|0.08
11|20061103|holiday|PM2|3|10|13|290|211|178|1|70|0.16
27|20061107|weekday|PM2|4|12|16|564|415|379|2|81|0.09
4|20061101|weekday|midnight|1|4|5|219|140|162|2|73|0.08
18|20061105|holiday|PM1|2|9|11|335|215|271|0|72|0.05
111|20061128|weekday|PM2|3|12|15|580|407|435|1|96|0.07
85|20061122|weekday|AM|2|8|10|333|276|224|1|64|0.08
46|20061112|holiday|PM1|3|10|13|617|409|393|1|86|0.2
56|20061114|weekday|midnight|1|3|4|72|58|50|2|93|0.08
79|20061120|weekday|PM2|4|12|16|663|440|482|1|72|0.07
42|20061111|holiday|PM1|2|10|12|382|246|278|3|69|0.04
45|20061112|holiday|AM|2|7|9|209|154|144|1|85|0.13
77|20061120|weekday|AM|2|7|9|281|224|225|1|78|0.04
76|20061119|holiday|midnight|0|4|4|129|86|83|3|68|0.12
38|20061110|weekday|PM1|3|9|12|305|157|219|2|84|0.08
53|20061114|weekday|AM|2|7|9|310|203|221|0|75|0.05
61|20061116|weekday|AM|2|8|10|365|226|233|2|75|0.14
103|20061126|holiday|PM2|3|11|14|487|352|353|2|60|0.06
63|20061116|weekday|PM2|3|11|14|544|258|393|2|86|0.12
65|20061117|weekday|AM|2|8|10|468|334|292|1|87|0.17
16|20061104|holiday|midnight|1|6|7|225|111|149|2|94|0.11
117|20061130|weekday|AM|2|8|10|380|218|280|2|79|0.05
64|20061116|weekday|midnight|1|3|4|129|105|76|2|97|0.19
80|20061120|weekday|midnight|1|4|5|228|192|158|1|67|0.08
93|20061124|weekday|AM|2|7|9|294|228|225|1|62|0.06
104|20061126|holiday|midnight|1|4|5|239|183|158|1|92|0.14
31|20061108|weekday|PM2|3|11|14|593|258|355|3|81|0.11
36|20061109|weekday|midnight|0|4|4|140|84|91|1|65|0.12
50|20061113|weekday|PM1|2|10|12|445|338|274|1|80|0.09
116|20061129|weekday|midnight|1|4|5|231|137|161|2|52|0.08
98|20061125|holiday|PM1|3|10|13|541|345|380|1|68|0.15
105|20061127|weekday|AM|2|7|9|317|169|250|1|73|0.04
62|20061116|weekday|PM1|2|10|12|428|411|303|1|92|0.09
22|20061106|weekday|PM1|3|10|13|476|338|318|2|74|0.1
59|20061115|weekday|PM2|3|11|14|413|246|294|2|87|0.11
54|20061114|weekday|PM1|3|9|12|275|209|195|2|93|0.12
72|20061118|holiday|midnight|1|7|8|368|252|253|1|90|0.05
91|20061123|holiday|PM2|3|11|14|699|456|539|1|57|0.07
89|20061123|holiday|AM|2|7|10|429|312|278|1|83|0.1
49|20061113|weekday|AM|2|8|10|391|269|296|1|104|0.11
70|20061118|holiday|PM1|3|10|13|425|328|290|1|82|0.12
90|20061123|holiday|PM1|3|10|13|417|281|320|0|103|0.1
57|20061115|weekday|AM|2|8|10|266|167|179|2|92|0.1
47|20061112|holiday|PM2|3|11|14|462|340|336|2|71|0.06
119|20061130|weekday|PM2|3|12|15|403|221|243|2|87|0.17
114|20061129|weekday|PM1|3|10|13|525|419|352|1|110|0.17
102|20061126|holiday|PM1|3|10|13|398|222|284|1|84|0.12
84|20061121|weekday|midnight|0|4|4|168|122|118|1|88|0.07
107|20061127|weekday|PM2|4|11|15|557|467|387|1|58|0.09
96|20061124|weekday|midnight|1|4|5|189|123|140|1|78|0.1
33|20061109|weekday|AM|2|7|9|325|246|243|2|103|0.12
88|20061122|weekday|midnight|1|4|5|174|128|112|3|67|0.12
97|20061125|holiday|AM|2|7|9|269|241|199|2|82|0.1
112|20061128|weekday|midnight|0|4|44|130|101|97|1|94|0.1
94|20061124|weekday|PM1|3|9|12|401|346|283|2|73|0.07
74|20061119|holiday|PM1|3|9|12|372|183|268|2|89|0.1
68|20061117|weekday|midnight|0|4|4|141|81|96|1|49|0.04
73|20061119|holiday|AM|1|8|9|268|171|196|2|81|0.11
95|20061124|weekday|PM2|3|10|13|669|383|470|2|81|0.06
92|20061123|holiday|midnight|0|4|4|172|123|113|2|77|0.1
100|20061125|holiday|midnight|1|7|9|320|235|185|1|102|0.21
118|20061130|weekday|PM1|3|10|16|461|391|375|0|79|0.08
67|20061117|weekday|PM2|3|12|15|481|346|400|1|69|0.05
109|20061128|weekday|AM|1|8|9|321|279|239|1|76|0.09
108|20061127|weekday|midnight|1|4|15|232|147|197|1|90|0.04
99|20061125|holiday|PM2|4|11|15|374|274|254|1|88|0.09
115|20061129|weekday|PM2|3|10|13|632|399|444|1|113|0.19
120|20061130|weekday|midnight|1|4|0|193|115|125|0|89|0.18
101|20061126|holiday|AM|2|8|10|278|180|194|2|62|0.07
